ID	gloss	sani	axi	nesu	lalo	li	nasu	neisu	nosu
27.	tongue	ɬa³³	lo³³	ɬo⁵⁵	ʔla⁵⁵	lo³³	ɬo³³	ɬu¹³	ha³³
28.	bamboo	ma³³	mo³³	mo⁵⁵	ma⁵⁵	mo³³	mo³³	mu¹³	ma³³
29.	ask	na³³	no³³	no⁵⁵	ʔna⁵⁵	no³³	no³³	no¹³	ṇa³³
30.	fry	ɬu³³	lo³³	ɬu⁵⁵	ʔlu̪⁵⁵	lu³³	ɬu³³	ɬu¹³	ɬu³³
31.	bake	ko³³	ku³³	ka⁵⁵	ku⁵⁵	ka³³	kɔ³³	ko¹³	ko³³
32.	turn	tʂo³³	tʂu³³	tsa⁵⁵	tʂu⁵⁵	tʂa³³	tʂɔ³³	tʂo¹³	tɕo³³
33.	shy	to³³	tu³³	ta⁵⁵	tu⁵⁵	ta³³	tɔ³³	to¹³	to³³
34.	fat	tshi³³	tsho³³	tshu⁵⁵	tshi⁵⁵	tshu³³	tshu³³	tshu¹³	tshu³³
35.	star	tɕæ²¹	tʂa²¹	tsɛ³³	tɕe²¹	kɛ²¹	tɕɔ³³	tɕɛ³³	tɕi³³
36.	grow	tæ²¹	ta²¹	tɛ³³	te²¹	tɛ²¹	tɔ³³	tɛ³³	tsi³³
37.	rice (cooked)	tsa³³	tso²	dzo²¹	dza⁵⁵	dzo³³	dzo²¹	dzo²¹	dza³³
38.	I	ŋa³³	ŋo²	ŋo²¹	ŋa⁵⁵	ŋo³³	ŋo²¹	ŋo²¹	ŋa³³
39.	ill	na³³	no²	no²¹	na⁵⁵	no³³	no²¹	no²¹	na³³
40.	hundred	ha³³	xo²	xo²¹	ha⁵⁵	xo³³	ho²¹	ho²¹	ha³³
41.	intestines	vu³³	ɣo²	vu²¹	vu̪⁵⁵	vu³³	ɣu²¹	ɣu²¹	vu³³
42.	make	mu³³	mo²	mu²¹	mu̪⁵⁵	mu³³	mu²¹	mu²¹	mu³³
43.	wing	tu³³	to²	do²¹	du̪⁵⁵	du³³	du²¹	du²¹	du³³
44.	human	tsho³³	tshu²	tsha²¹	tshu⁵⁵	tsha³³	tshɔ²¹	tsho²¹	tsho³³
45.	pull	qo³³	ku²	ga²¹	ɣu⁵⁵	ga³³	gɔ²¹	go²¹	go³³
46.	sheep	ʐo³³	ʐu²	xa²¹	ʐu⁵⁵	ʐa³³	hɔ²¹	ho²¹	ʐo³³
47.	water	ʐi³³	ʐi²	ʐi²¹	ɣɯ⁵⁵	ʐi³³	ʐi²¹	ʐi²¹	ʐi³³
48.	skin	tʂi³³	tɕi²	dʑi²¹	gɯ⁵⁵	dzi³³	ndʑi²¹	ndʑi²¹	ndʑi³³
49.	die	ʂi³³	ʂi²	ɕi²¹	xɯ⁵⁵	si³³	ɕi²¹	ɕi²¹	si³³
50.	melt	?	tɕi²	dʑi²¹	gɯ⁵⁵	dzi³³	dʑi²¹	dʑi²¹	dʑi³³
51.	wine	tʂi³³	tɕi²	dʐi²¹	dʐi⁵⁵	dzi³³	ɳɖʐi²¹	ɳɖʐi²¹	ɳɖʐi³³
52.	buy	væ³³	va²	vɛ²¹	ve⁵⁵	vɛ³³	vɔ²¹	vɛ²¹	vi³³
53.	borrow	ŋa⁵⁵	ŋo⁵⁵	ŋo³³	a²¹	ŋo⁵⁵	ŋo³³	ŋu³³	hɯ³³
54.	stop	na⁵⁵	no⁵⁵	no³³	ʔna²¹	no⁵⁵	no³³	nu³³	nɯ³³
55.	lay up	ta⁵⁵	to⁵⁵	to³³	ta²¹	to⁵⁵	to³³	tu³³	ta³³
56.	want	ŋo⁵⁵	ŋu⁵⁵	ŋa³³	?	ŋo⁵⁵	ŋɔ³³	ŋo³³	ŋo³³
57.	kneel	kɯ⁵⁵	kɯ⁵⁵	kɯ³³	gɯ²¹	kɯ⁵⁵	kɯ³³	tɕy³³	ku³³
58.	tiger	la⁵⁵	lo⁵⁵	lo²	la²	lo⁵⁵	lo⁵⁵	lu⁵⁵	la⁵⁵
59.	trousers	ɬa⁵⁵	lo⁵⁵	ɬo²	ʔla²	lu⁵⁵	ɬo⁵⁵	ɬu⁵⁵	ɬa⁵⁵
60.	teach	mo⁵⁵	mu⁵⁵	mo²	ʔma²	mu⁵⁵	mo⁵⁵	mu⁵⁵	ṃa⁵⁵
61.	sweat	tɕæ⁵⁵	tʂa⁵⁵	tʂa²	tɕe²	kɛ⁵⁵	tɕɔ⁵⁵	tɕɛ⁵⁵	?
62.	congeal	tɤ⁵⁵	tɯ⁵⁵	tɤ²	ty²	tɤ⁵⁵	te⁵⁵	tɤ⁵⁵	ti⁵⁵
63.	chicken	ʑe⁴⁴	ʑe̱³³	ʑe̱³³	ʑi̱³³	ʑe̱³³	ɣa̱²	ɣa³³	va̱⁴
64.	embrace	te⁴⁴	te̱³³	te̱³³	ti̱³³	te̱³³	ta̱²	ta³³	to̱⁴
65.	harrow	tɕe⁴⁴	tɕe̱³³	tɕe̱³³	tɕi̱³³	tɕe̱³³	tɕa̱²	tɕa³³	go̱⁴
66.	black	ne⁴⁴	ne̱³³	ne̱³³	ni̱³³	ne̱³³	na̱²	na³³	no̱⁴
67.	sharpen	the⁴⁴	the̱³³	the̱³³	thi̱³³	the̱³³	tha̱²	tha³³	tho̱⁴
68.	go up	de⁴⁴	de̱³³	de̱³³	di³³	de̱³³	da̱²	da³³	do̱⁴
69.	bean	no⁴⁴	nu̱³³	nu̱³³	no̱³³	nu̱³³	no̱²	ȵe³³	nu̱⁴
70.	be full	bo⁴⁴	bu̱³³	bu̱³³	bo̱³³	bu̱³³	mbho̱²	mbe³³	mbu̱⁴
71.	go out	do⁴⁴	du̱³³	du̱³³	do̱³³	du̱³³	do̱²	de³³	du̱⁴
72.	lean on	to⁴⁴	tu̱³³	tu̱³³	to̱³³	tu̱³³	to̱²	te³³	tu̱⁴
73.	fear	go⁴⁴	dʐu̱³³	dʐu̱³³	go̱³³	dʐu̱³³	dʑo̱²	dʑe³³	dʑu̱⁴
74.	stone	lo⁴⁴	lo̱³³	lu̱³³	lo̱³³	lu̱³³	lo̱²	le³³	lu̱⁴
75.	hold in arms	va⁴⁴	va̱³³	va̱³³	va̱³³	va̱³³	vɚ̱²	va³³	va̱⁴
76.	shoot	ba⁴⁴	ba̱³³	ba̱³³	ba̱³³	ba̱³³	mbhɚ̱²	mbɪ³³	bɪ̱⁴
77.	light	dla⁴⁴	ɖa̱³³	da̱³³	ba̱³³	ba̱³³	ɖɚ̱²	ɖɪ³³	dɪ̱⁴
78.	tree	si⁴⁴	si̱³³	ɕi̱³³	si̱³³	si̱³³	si̱²	sɪ³³	si̱⁴
79.	blossom	vɪ⁴⁴	vi̱³³	vi̱³³	vi̱³³	vi̱³³	vi̱²	vɪ³³	vi̱⁴
80.	bubble	ti⁴⁴	ti̱³³	ti̱³³	ti̱³³	ti̱³³	ti̱²	tɪ³³	tsi̱⁴
81.	break	tshi⁴⁴	tsi̱³³	tɕhi̱³³	tɕhi̱³³	tshi̱³³	tshi̱²	gɪ³³	tɕhi̱⁴
82.	hand	le²	le̱²	le̱²	ʔli̱²	le̱²	la̱⁵⁵	la¹³	lo̱⁵⁵
83.	pig	ve²	ve̱²	ve̱²	vi̱²	ve̱²	va̱⁵⁵	va¹³	vo̱⁵⁵
84.	soldier	me²	me̱²	me̱²	ʔmi̱²	me̱²	ma̱⁵⁵	ma¹³	mo̱⁵⁵
85.	weave	ʑe²	ʑe̱²	ʑe̱²	?	ʑe̱²	ɣa⁵⁵	ɣa¹³	dʐo̱⁵⁵
86.	year	kho²	khu̱²	khu̱²	kho̱²	khu̱²	kho̱⁵⁵	tɕhe¹³	khu̱⁵⁵
87.	enough	lo²	lu̱²	lu̱²	ʔlo̱²	lu̱²	lo̱⁵⁵	le¹³	lu̱⁵⁵
88.	six	kho²	tʂhu̱²	tʂhu̱²	kho̱²	tʂhu̱²	tʂho̱⁵⁵	tɕhe¹³	fu̱⁵⁵
89.	brain	no²	nu̱²	nu̱²	ʔno̱²	nu̱²	no̱⁵⁵	ne¹³	no̱⁵⁵
90.	waist	dʐo²	dʐu̱²	dzu²	dʐo̱²	dʐu̱²	dʐo̱⁵⁵	dʐe¹³	dʑu̱⁵⁵
91.	poison	do²	du̱²	du̱²	do̱²	du̱²	to̱⁵⁵	te¹³	du̱⁵⁵
92.	rub	va²	va̱²	va̱²	va̱²	va̱²	vɚ̱⁵⁵	vɪ¹³	vo̱⁵⁵
93.	lick	đa²	đa̱²	la̱²	la̱²	la̱²	lɚ̱⁵⁵	lɪ¹³	ʑo̱⁵⁵
94.	leopard	zi²	zi̱²	ʑi̱²	zi̱²	zi̱²	zi̱⁵⁵	zi¹³	zi̱⁵⁵
95.	spit vomit	phɪ²	phi̱²	phi̱²	phi̱²	phi̱²	phi̱⁵⁵	phi¹³	phɪ̱⁵⁵
96.	leech	vɪ²	vi̱²	vi̱²	vi̱²	bi̱²	vi̱⁵⁵	vi¹³	mbɪ̱⁵⁵
97.	needle	ɣɤ²	ɣo̱²	ɣɤ̱²	ʑy̱²	vɤ̱²	ɣɤ̱⁵⁵	ɣi¹³	ʑɪ̱⁵⁵
98.	hoof	bɤ²	bo̱²	ʑɤ̱²	by̱²	bɤ̱²	bɤ̱⁵⁵	bi¹³	bɪ̱⁵⁵
99.	swell	phɤ²	pho̱²	phɤ̱²	phy̱²	phɤ̱²	phɤ̱⁵⁵	phi¹³	?
100.	put on	dɤ²	do̱²	dɤ̱²	dy̱²	dɤ̱²	de̱⁵⁵	di¹³	ndi̱⁵⁵
101.	stand	hɤ²	xo̱²	xɤ̱²	hy̱²	xɤ̱²	he̱⁵⁵	hi¹³	hi̱⁵⁵
102.	catch	da²¹	do²¹	do²¹	da²¹	do²¹	do⁵⁵	du⁵⁵	?
103.	thin	ba²¹	bo²¹	bo³³	ba²¹	bo²¹	bo³³	bu³³	bo³³
104.	snow	va²¹	ɣo²¹	ɣo³³	va²¹	ɣo²¹	vo³³	ɣu³³	vo³³
105.	plough	ŋa²¹	ŋo²¹	ŋo³³	ma²¹	mo²¹	ŋo³³	?	mo³³
106.	bright	ba³³	bo²	bo²¹	ba⁵⁵	bo³³	bo²¹	bo²¹	bo³³
107.	nephew	tu³³	to³³	du⁵⁵	du̪⁵⁵	du³³	ndu³³	ndu¹³	ndu³³
108.	porcupine	pu³³	po³³	pu⁵⁵	ku̪⁵⁵	pu³³	pu³³	pu¹³	pu³³
109.	thick	thu³³	tho²	thu²¹	thu̪⁵⁵	thu³³	thu²¹	thu²¹	tu³³
110.	chopsticks	dʐi³³	dʐo²	dzu²¹	dzu̪⁵⁵	dʐu³³	dʐu²¹	dʐu²¹	dʐu³³
111.	horse	mu²¹	mo²¹	mo³³	mu̪²¹	mu²¹	mu³³	mu³³	mu³³
112.	soft	no²¹	no²¹	nu³³	nu̪²¹	nu²¹	nu³³	nu³³	nu³³
113.	sky	mu²¹	mu²¹	mu³³	mi²¹	mɯ²¹	mu³³	mi³³	mu³³
114.	insect	bu²¹	bu²¹	bu³³	vi²¹	bɯ²¹	bu³³	bi³³	bu³³
115.	price	phu²¹	phu²¹	phu³³	fi²¹	phɯ²¹	phu³³	phi³³	phu³³
116.	carry (on back)	bu²¹	bu²¹	bu²¹	vi²¹	bɯ²¹	bu⁵⁵	bi⁵⁵	pu²¹
117.	mushroom	mu³³	mo³³	mu⁵⁵	mi⁵⁵	mɯ³³	mu³³	mi¹³	ṃu³³
118.	crow	pu³³	pu²	bu²¹	vi⁵⁵	bɯ³³	mbu²¹	mbi²¹	ku³³
119.	excrement	ɬi²¹	ʈhi²¹	thi³³	tɕhi²¹	si²¹	ɬi³³	ʈhi³³	tɕhi³³
120.	urine	zi²¹	zi²¹	ɕi³³	ʐi²¹	zi²¹	zi³³	zi³³	zi³³
