FAILED.man		man42	man	³kãŋ	hill
c1.c133.c179.c88.	Adzjut	tuk24	tuk	˥tsju	ten
c1.c133.c18.	Adzjwi	tuk24	tuk	˥tsju	ten
c1.c133.c180.c20.	Adzje	tuk37	tuk	˥sje	louse
c1.c133.c180.c21.	Adzjeː	tuk37	tuk	˥sje	louse
c1.c133.c180.c22.	Adzjeː	tuk37	tuk	˥sje	louse
c1.c133.c180.c23.	Adzjeː	tuk37	tuk	˥sje	louse
c1.c133.c180.c24.	Adzjje	tuk37	tuk	˥sje	louse
c1.c133.c180.c25.	Adzjek	tuk37	tuk	˥sje	louse
c1.c133.c180.c26.	Adzjet	tuk37	tuk	˥sje	louse
c1.c133.c180.c31.	Adzjew	tuk37	tuk	˥sje	louse
c1.c133.c180.c35.	Adzjja	tuk37	tuk	˥sje	louse
c1.c133.c180.c42.	Adzjai	tuk37	tuk	˥sje	louse
c1.c133.c180.c43.	Adzjai	tuk37	tuk	˥sje	louse
c1.c133.c180.c44.	Adzjai	tuk37	tuk	˥sje	louse
c1.c133.c180.c48.	Adzjat	tuk37	tuk	˥sje	louse
c1.c133.c180.c50.	Adzjwat	tuk37	tuk	˥sje	louse
c1.c133.c180.c52.	Adzjjap	tuk37	tuk	˥sje	louse
c1.c133.c180.c68.	Adzjjoi	tuk37	tuk	˥sje	louse
c1.c133.c180.c71.	Adzjot	tuk37	tuk	˥sje	louse
c1.c133.c180.c82.	Adzju	tuk24	tuk	˥tsju	ten
c1.c133.c180.c83.	Adzjuː	tuk24	tuk	˥tsju	ten
c1.c133.c180.c88.	Adzjut	tuk24	tuk	˥tsju	ten
c1.c133.c5.	Adzi	man3	man	¹tsʰi	fodder
c1.c133.c53.	Adzaŋ	gha4	gha	¹tsõ	daughter in law
c1.c133.c53.	Adzaŋ	ris2	ris	¹tsaŋ	daughter in law
c1.c133.c53.	Adzaŋ	mar4	mar	¹tsaŋ	daughter in law
c1.c133.c53.	Adzaŋ	syang4	syang	˥tsaŋ	daughter in law
c1.c133.c53.	Adzaŋ	tag2	tag	¹tsaŋ	daughter in law
c1.c133.c53.	Adzaŋ	tuk4	tuk	˥tsaŋ	daughter in law
c1.c133.c54.	Adzaŋ	ris2	ris	¹tsaŋ	daughter in law
c1.c133.c54.	Adzaŋ	mar4	mar	¹tsaŋ	daughter in law
c1.c133.c54.	Adzaŋ	syang4	syang	˥tsaŋ	daughter in law
c1.c133.c54.	Adzaŋ	tag2	tag	¹tsaŋ	daughter in law
c1.c133.c54.	Adzaŋ	tuk4	tuk	˥tsaŋ	daughter in law
c1.c133.c6.	Adziː	man3	man	¹tsʰi	fodder
c1.c133.c7.	Adzik	man3	man	¹tsʰi	fodder
c1.c133.c70.	Adzot	man3	man	¹tsʰi	fodder
c1.c133.c72.	Adzjot	man3	man	¹tsʰi	fodder
c1.c133.c72.	Adzjot	tuk37	tuk	˥sje	louse
c1.c133.c73.	Adzjot	tuk37	tuk	˥sje	louse
c1.c133.c76.	Adzoŋ	gha4	gha	¹tsõ	daughter in law
c1.c133.c80.	Adzom	gha4	gha	¹tsõ	daughter in law
c1.c133.c9.	Adzip	man3	man	¹tsʰi	fodder
c1.c134.c179.c82.	Atsjju	tuk24	tuk	˥tsju	ten
c1.c134.c179.c83.	Atsjjuː	tuk24	tuk	˥tsju	ten
c1.c134.c179.c88.	Atsjjut	tuk24	tuk	˥tsju	ten
c1.c134.c18.	Atsjjwi	tuk24	tuk	˥tsju	ten
c1.c134.c180.c82.	Atsjju	tuk24	tuk	˥tsju	ten
c1.c134.c180.c83.	Atsjjuː	tuk24	tuk	˥tsju	ten
c1.c134.c180.c88.	Atsjjut	tuk24	tuk	˥tsju	ten
c1.c134.c53.	Atsjaŋ	tuk4	tuk	˥tsaŋ	daughter in law
c1.c134.c54.	Atsjaŋ	tuk4	tuk	˥tsaŋ	daughter in law
c1.c134.c82.	Atsju	tuk24	tuk	˥tsju	ten
c1.c134.c83.	Atsjuː	tuk24	tuk	˥tsju	ten
c1.c134.c88.	Atsjut	tuk24	tuk	˥tsju	ten
c1.c135.c16.	Atsʰjil	tuk3	tuk	˥tsʰi	fodder
c1.c135.c17.	Atsʰjwi	tuk3	tuk	˥tsʰi	fodder
c1.c135.c26.	Atsʰjet	tuk3	tuk	˥tsʰi	fodder
c1.c135.c5.	Atsʰji	tuk3	tuk	˥tsʰi	fodder
c1.c135.c6.	Atsʰjiː	tuk3	tuk	˥tsʰi	fodder
c1.c135.c7.	Atsʰjik	tuk3	tuk	˥tsʰi	fodder
c1.c135.c8.	Atsʰjit	tuk3	tuk	˥tsʰi	fodder
c1.c135.c89.	Atsʰjut	tuk3	tuk	˥tsʰi	fodder
c1.c135.c9.	Atsʰjip	tuk3	tuk	˥tsʰi	fodder
c1.c136.c179.c82.	Adzjju	tuk24	tuk	˥tsju	ten
c1.c136.c179.c83.	Adzjjuː	tuk24	tuk	˥tsju	ten
c1.c136.c179.c88.	Adzjjut	tuk24	tuk	˥tsju	ten
c1.c136.c18.	Adzjjwi	tuk24	tuk	˥tsju	ten
c1.c136.c180.c82.	Adzjju	tuk24	tuk	˥tsju	ten
c1.c136.c180.c83.	Adzjjuː	tuk24	tuk	˥tsju	ten
c1.c136.c180.c88.	Adzjjut	tuk24	tuk	˥tsju	ten
c1.c136.c53.	Adzjaŋ	tuk4	tuk	˥tsaŋ	daughter in law
c1.c136.c54.	Adzjaŋ	tuk4	tuk	˥tsaŋ	daughter in law
c1.c136.c82.	Adzju	tuk24	tuk	˥tsju	ten
c1.c136.c83.	Adzjuː	tuk24	tuk	˥tsju	ten
c1.c136.c88.	Adzjut	tuk24	tuk	˥tsju	ten
c1.c137.c20.	Aʈe	tuk10	tuk	˥ʈe	waist
c1.c137.c207.c204.	Aʈup	sahu20	sahu	¹ʈup	thread (sewing)
c1.c137.c21.	Aʈeː	tuk10	tuk	˥ʈe	waist
c1.c137.c22.	Aʈeː	tuk10	tuk	˥ʈe	waist
c1.c137.c23.	Aʈeː	tuk10	tuk	˥ʈe	waist
c1.c137.c24.	Aʈje	tuk10	tuk	˥ʈe	waist
c1.c137.c25.	Aʈek	tuk10	tuk	˥ʈe	waist
c1.c137.c26.	Aʈet	tuk10	tuk	˥ʈe	waist
c1.c137.c31.	Aʈew	tuk10	tuk	˥ʈe	waist
c1.c137.c33.	Aʈa	tuk8	tuk	˥ʈə	hair / head
c1.c137.c35.	Aʈja	tuk10	tuk	˥ʈe	waist
c1.c137.c39.	Aʈwa	tuk8	tuk	˥ʈə	hair / head
c1.c137.c42.	Aʈai	tuk10	tuk	˥ʈe	waist
c1.c137.c43.	Aʈai	tuk10	tuk	˥ʈe	waist
c1.c137.c44.	Aʈai	tuk10	tuk	˥ʈe	waist
c1.c137.c48.	Aʈat	tuk10	tuk	˥ʈe	waist
c1.c137.c50.	Aʈwat	tuk10	tuk	˥ʈe	waist
c1.c137.c52.	Aʈjap	tuk10	tuk	˥ʈe	waist
c1.c137.c68.	Aʈjoi	tuk10	tuk	˥ʈe	waist
c1.c137.c71.	Aʈot	tuk10	tuk	˥ʈe	waist
c1.c137.c82.	Aʈu	tuk9	tuk	˥ʈu	cubit
c1.c137.c82.c204.	Aʈup	sahu20	sahu	¹ʈup	thread (sewing)
c1.c137.c83.	Aʈuː	tuk9	tuk	˥ʈu	cubit
c1.c137.c87.	Aʈut	sahu20	sahu	¹ʈup	thread (sewing)
c1.c137.c88.	Aʈut	sahu20	sahu	¹ʈup	thread (sewing)
c1.c137.c88.	Aʈut	tuk9	tuk	˥ʈu	cubit
c1.c137.c89.	Aʈut	sahu20	sahu	¹ʈup	thread (sewing)
c1.c137.c90.	Aʈut	sahu20	sahu	¹ʈup	thread (sewing)
c1.c137.c91.	Aʈup	sahu20	sahu	¹ʈup	thread (sewing)
c1.c139.c207.c204.	Aʈ.Hr.ʈʰup	sahu20	sahu	¹ʈup	thread (sewing)
c1.c139.c207.c204.	Aʈ.Hr.ʈʰup	tuk23	tuk	˥hrup	thread (sewing)
c1.c139.c33.	Aʈ.Hr.ʈʰa	gha16	gha	¹ra	goat
c1.c139.c39.	Aʈ.Hr.ʈʰwa	gha16	gha	¹ra	goat
c1.c139.c60.	Aʈ.Hr.ʈʰar	gha16	gha	¹ra	goat
c1.c139.c81.	Aʈ.Hr.ʈʰor	gha16	gha	¹ra	goat
c1.c139.c82.c204.	Aʈ.Hr.ʈʰup	sahu20	sahu	¹ʈup	thread (sewing)
c1.c139.c82.c204.	Aʈ.Hr.ʈʰup	tuk23	tuk	˥hrup	thread (sewing)
c1.c139.c87.	Aʈ.Hr.ʈʰut	sahu20	sahu	¹ʈup	thread (sewing)
c1.c139.c88.	Aʈ.Hr.ʈʰut	sahu20	sahu	¹ʈup	thread (sewing)
c1.c139.c89.	Aʈ.Hr.ʈʰut	sahu20	sahu	¹ʈup	thread (sewing)
c1.c139.c90.	Aʈ.Hr.ʈʰut	sahu20	sahu	¹ʈup	thread (sewing)
c1.c139.c91.	Aʈ.Hr.ʈʰup	sahu20	sahu	¹ʈup	thread (sewing)
c1.c139.c91.	Aʈ.Hr.ʈʰup	tuk23	tuk	˥hrup	thread (sewing)
c1.c140.c20.	Aɖe	tuk10	tuk	˥ʈe	waist
c1.c140.c207.c204.	Aɖup	sahu20	sahu	¹ʈup	thread (sewing)
c1.c140.c21.	Aɖeː	tuk10	tuk	˥ʈe	waist
c1.c140.c22.	Aɖeː	tuk10	tuk	˥ʈe	waist
c1.c140.c23.	Aɖeː	tuk10	tuk	˥ʈe	waist
c1.c140.c24.	Aɖje	tuk10	tuk	˥ʈe	waist
c1.c140.c25.	Aɖek	tuk10	tuk	˥ʈe	waist
c1.c140.c26.	Aɖet	tuk10	tuk	˥ʈe	waist
c1.c140.c31.	Aɖew	tuk10	tuk	˥ʈe	waist
c1.c140.c33.	Aɖa	tuk8	tuk	˥ʈə	hair / head
c1.c140.c35.	Aɖja	tuk10	tuk	˥ʈe	waist
c1.c140.c39.	Aɖwa	tuk8	tuk	˥ʈə	hair / head
c1.c140.c42.	Aɖai	tuk10	tuk	˥ʈe	waist
c1.c140.c43.	Aɖai	tuk10	tuk	˥ʈe	waist
c1.c140.c44.	Aɖai	tuk10	tuk	˥ʈe	waist
c1.c140.c48.	Aɖat	tuk10	tuk	˥ʈe	waist
c1.c140.c50.	Aɖwat	tuk10	tuk	˥ʈe	waist
c1.c140.c52.	Aɖjap	tuk10	tuk	˥ʈe	waist
c1.c140.c68.	Aɖjoi	tuk10	tuk	˥ʈe	waist
c1.c140.c71.	Aɖot	tuk10	tuk	˥ʈe	waist
c1.c140.c82.	Aɖu	tuk9	tuk	˥ʈu	cubit
c1.c140.c82.c204.	Aɖup	sahu20	sahu	¹ʈup	thread (sewing)
c1.c140.c83.	Aɖuː	tuk9	tuk	˥ʈu	cubit
c1.c140.c87.	Aɖut	sahu20	sahu	¹ʈup	thread (sewing)
c1.c140.c88.	Aɖut	sahu20	sahu	¹ʈup	thread (sewing)
c1.c140.c88.	Aɖut	tuk9	tuk	˥ʈu	cubit
c1.c140.c89.	Aɖut	sahu20	sahu	¹ʈup	thread (sewing)
c1.c140.c90.	Aɖut	sahu20	sahu	¹ʈup	thread (sewing)
c1.c140.c91.	Aɖup	sahu20	sahu	¹ʈup	thread (sewing)
c1.c141.c20.	Aɖe	tuk10	tuk	˥ʈe	waist
c1.c141.c207.c204.	Aɖup	sahu20	sahu	¹ʈup	thread (sewing)
c1.c141.c21.	Aɖeː	tuk10	tuk	˥ʈe	waist
c1.c141.c22.	Aɖeː	tuk10	tuk	˥ʈe	waist
c1.c141.c23.	Aɖeː	tuk10	tuk	˥ʈe	waist
c1.c141.c24.	Aɖje	tuk10	tuk	˥ʈe	waist
c1.c141.c25.	Aɖek	tuk10	tuk	˥ʈe	waist
c1.c141.c26.	Aɖet	tuk10	tuk	˥ʈe	waist
c1.c141.c31.	Aɖew	tuk10	tuk	˥ʈe	waist
c1.c141.c33.	Aɖa	tuk8	tuk	˥ʈə	hair / head
c1.c141.c35.	Aɖja	tuk10	tuk	˥ʈe	waist
c1.c141.c39.	Aɖwa	tuk8	tuk	˥ʈə	hair / head
c1.c141.c42.	Aɖai	tuk10	tuk	˥ʈe	waist
c1.c141.c43.	Aɖai	tuk10	tuk	˥ʈe	waist
c1.c141.c44.	Aɖai	tuk10	tuk	˥ʈe	waist
c1.c141.c48.	Aɖat	tuk10	tuk	˥ʈe	waist
c1.c141.c50.	Aɖwat	tuk10	tuk	˥ʈe	waist
c1.c141.c52.	Aɖjap	tuk10	tuk	˥ʈe	waist
c1.c141.c68.	Aɖjoi	tuk10	tuk	˥ʈe	waist
c1.c141.c71.	Aɖot	tuk10	tuk	˥ʈe	waist
c1.c141.c82.	Aɖu	tuk9	tuk	˥ʈu	cubit
c1.c141.c82.c204.	Aɖup	sahu20	sahu	¹ʈup	thread (sewing)
c1.c141.c83.	Aɖuː	tuk9	tuk	˥ʈu	cubit
c1.c141.c87.	Aɖut	sahu20	sahu	¹ʈup	thread (sewing)
c1.c141.c88.	Aɖut	sahu20	sahu	¹ʈup	thread (sewing)
c1.c141.c88.	Aɖut	tuk9	tuk	˥ʈu	cubit
c1.c141.c89.	Aɖut	sahu20	sahu	¹ʈup	thread (sewing)
c1.c141.c90.	Aɖut	sahu20	sahu	¹ʈup	thread (sewing)
c1.c141.c91.	Aɖup	sahu20	sahu	¹ʈup	thread (sewing)
c1.c142.c11.	Atiŋ	gha2	gha	¹tĩ	heart
c1.c142.c11.	Atiŋ	ris1	ris	¹tiŋ	heart
c1.c142.c11.	Atiŋ	sahu1	sahu	¹tiŋ	heart
c1.c142.c11.	Atiŋ	man2	man	¹tĩ	heart
c1.c142.c11.	Atiŋ	mar2	mar	˥tin	heart
c1.c142.c11.	Atiŋ	syang2	syang	˥tin	heart
c1.c142.c11.	Atiŋ	tuk2	tuk	˥tin	heart
c1.c142.c12.	Atin	gha2	gha	¹tĩ	heart
c1.c142.c12.	Atin	man2	man	¹tĩ	heart
c1.c142.c12.	Atin	mar2	mar	˥tin	heart
c1.c142.c12.	Atin	syang2	syang	˥tin	heart
c1.c142.c12.	Atin	tuk2	tuk	˥tin	heart
c1.c142.c14.	Atim	gha2	gha	¹tĩ	heart
c1.c142.c14.	Atim	man2	man	¹tĩ	heart
c1.c142.c14.	Atim	mar2	mar	˥tin	heart
c1.c142.c27.	Atep	syang22	syang	˥to	hoe
c1.c142.c27.	Atep	syang31	syang	˥to	saliva
c1.c142.c33.	Ata	tuk20	tuk	˥tə	horse
c1.c142.c37.	Atwa	syang22	syang	˥to	hoe
c1.c142.c37.	Atwa	syang31	syang	˥to	saliva
c1.c142.c37.	Atwa	tuk22	tuk	˥to	hoe
c1.c142.c38.	Atwa	syang22	syang	˥to	hoe
c1.c142.c38.	Atwa	syang31	syang	˥to	saliva
c1.c142.c38.	Atwa	tuk22	tuk	˥to	hoe
c1.c142.c39.	Atwa	syang22	syang	˥to	hoe
c1.c142.c39.	Atwa	syang31	syang	˥to	saliva
c1.c142.c39.	Atwa	tuk20	tuk	˥tə	horse
c1.c142.c40.	Atwaː	tuk22	tuk	˥to	hoe
c1.c142.c41.	Atwaː	tuk22	tuk	˥to	hoe
c1.c142.c51.	Atap	syang22	syang	˥to	hoe
c1.c142.c51.	Atap	syang31	syang	˥to	saliva
c1.c142.c53.	Ataŋ	syang21	syang	˥taŋ	dishes
c1.c142.c53.	Ataŋ	tuk21	tuk	˥taŋ	dishes
c1.c142.c54.	Ataŋ	syang21	syang	˥taŋ	dishes
c1.c142.c54.	Ataŋ	tuk21	tuk	˥taŋ	dishes
c1.c142.c62.	Atwal	tuk22	tuk	˥to	hoe
c1.c142.c65.	Ato	syang22	syang	˥to	hoe
c1.c142.c65.	Ato	syang31	syang	˥to	saliva
c1.c142.c65.	Ato	tuk22	tuk	˥to	hoe
c1.c142.c66.	Atoː	syang22	syang	˥to	hoe
c1.c142.c66.	Atoː	syang31	syang	˥to	saliva
c1.c142.c66.	Atoː	tuk22	tuk	˥to	hoe
c1.c142.c81.	Ator	syang22	syang	˥to	hoe
c1.c142.c81.	Ator	syang31	syang	˥to	saliva
c1.c142.c94.	Atun	man2	man	¹tĩ	heart
c1.c143.c20.	Atʰe	tuk30	tuk	˥tʰe	siblings
c1.c143.c21.	Atʰeː	tuk30	tuk	˥tʰe	siblings
c1.c143.c22.	Atʰeː	tuk30	tuk	˥tʰe	siblings
c1.c143.c23.	Atʰeː	tuk30	tuk	˥tʰe	siblings
c1.c143.c24.	Atʰje	tuk30	tuk	˥tʰe	siblings
c1.c143.c25.	Atʰek	tuk30	tuk	˥tʰe	siblings
c1.c143.c26.	Atʰet	tuk30	tuk	˥tʰe	siblings
c1.c143.c27.	Atʰep	mar31	mar	˥tʰo	saliva
c1.c143.c31.	Atʰew	tuk30	tuk	˥tʰe	siblings
c1.c143.c35.	Atʰja	tuk30	tuk	˥tʰe	siblings
c1.c143.c37.	Atʰwa	mar31	mar	˥tʰo	saliva
c1.c143.c37.	Atʰwa	tuk31	tuk	˥tʰo	saliva
c1.c143.c38.	Atʰwa	mar31	mar	˥tʰo	saliva
c1.c143.c38.	Atʰwa	tuk31	tuk	˥tʰo	saliva
c1.c143.c40.	Atʰwaː	tuk31	tuk	˥tʰo	saliva
c1.c143.c41.	Atʰwaː	tuk31	tuk	˥tʰo	saliva
c1.c143.c42.	Atʰai	tuk30	tuk	˥tʰe	siblings
c1.c143.c43.	Atʰai	tuk30	tuk	˥tʰe	siblings
c1.c143.c44.	Atʰai	tuk30	tuk	˥tʰe	siblings
c1.c143.c48.	Atʰat	tuk30	tuk	˥tʰe	siblings
c1.c143.c50.	Atʰwat	tuk30	tuk	˥tʰe	siblings
c1.c143.c51.	Atʰap	mar31	mar	˥tʰo	saliva
c1.c143.c52.	Atʰjap	tuk30	tuk	˥tʰe	siblings
c1.c143.c62.	Atʰwal	tuk31	tuk	˥tʰo	saliva
c1.c143.c65.	Atʰo	mar31	mar	˥tʰo	saliva
c1.c143.c65.	Atʰo	tuk31	tuk	˥tʰo	saliva
c1.c143.c66.	Atʰoː	mar31	mar	˥tʰo	saliva
c1.c143.c66.	Atʰoː	tuk31	tuk	˥tʰo	saliva
c1.c143.c68.	Atʰjoi	tuk30	tuk	˥tʰe	siblings
c1.c143.c71.	Atʰot	tuk30	tuk	˥tʰe	siblings
c1.c143.c75.	Atʰop	mar31	mar	˥tʰo	saliva
c1.c143.c99.	Atʰul	mar31	mar	˥tʰo	saliva
c1.c144.c11.	Atʰiŋ	gha2	gha	¹tĩ	heart
c1.c144.c11.	Atʰiŋ	syang2	syang	˥tin	heart
c1.c144.c12.	Atʰin	gha2	gha	¹tĩ	heart
c1.c144.c12.	Atʰin	syang2	syang	˥tin	heart
c1.c144.c14.	Atʰim	gha2	gha	¹tĩ	heart
c1.c144.c20.	Atʰe	tuk30	tuk	˥tʰe	siblings
c1.c144.c21.	Atʰeː	tuk30	tuk	˥tʰe	siblings
c1.c144.c22.	Atʰeː	tuk30	tuk	˥tʰe	siblings
c1.c144.c23.	Atʰeː	tuk30	tuk	˥tʰe	siblings
c1.c144.c24.	Atʰje	tuk30	tuk	˥tʰe	siblings
c1.c144.c25.	Atʰek	tuk30	tuk	˥tʰe	siblings
c1.c144.c26.	Atʰet	tuk30	tuk	˥tʰe	siblings
c1.c144.c27.	Atʰep	mar31	mar	˥tʰo	saliva
c1.c144.c27.	Atʰep	syang22	syang	˥to	hoe
c1.c144.c27.	Atʰep	syang31	syang	˥to	saliva
c1.c144.c31.	Atʰew	tuk30	tuk	˥tʰe	siblings
c1.c144.c35.	Atʰja	tuk30	tuk	˥tʰe	siblings
c1.c144.c37.	Atʰwa	mar31	mar	˥tʰo	saliva
c1.c144.c37.	Atʰwa	syang22	syang	˥to	hoe
c1.c144.c37.	Atʰwa	syang31	syang	˥to	saliva
c1.c144.c37.	Atʰwa	tuk31	tuk	˥tʰo	saliva
c1.c144.c38.	Atʰwa	mar31	mar	˥tʰo	saliva
c1.c144.c38.	Atʰwa	syang22	syang	˥to	hoe
c1.c144.c38.	Atʰwa	syang31	syang	˥to	saliva
c1.c144.c38.	Atʰwa	tuk31	tuk	˥tʰo	saliva
c1.c144.c39.	Atʰwa	syang22	syang	˥to	hoe
c1.c144.c39.	Atʰwa	syang31	syang	˥to	saliva
c1.c144.c40.	Atʰwaː	tuk31	tuk	˥tʰo	saliva
c1.c144.c41.	Atʰwaː	tuk31	tuk	˥tʰo	saliva
c1.c144.c42.	Atʰai	tuk30	tuk	˥tʰe	siblings
c1.c144.c43.	Atʰai	tuk30	tuk	˥tʰe	siblings
c1.c144.c44.	Atʰai	tuk30	tuk	˥tʰe	siblings
c1.c144.c48.	Atʰat	tuk30	tuk	˥tʰe	siblings
c1.c144.c50.	Atʰwat	tuk30	tuk	˥tʰe	siblings
c1.c144.c51.	Atʰap	mar31	mar	˥tʰo	saliva
c1.c144.c51.	Atʰap	syang22	syang	˥to	hoe
c1.c144.c51.	Atʰap	syang31	syang	˥to	saliva
c1.c144.c52.	Atʰjap	tuk30	tuk	˥tʰe	siblings
c1.c144.c53.	Atʰaŋ	syang21	syang	˥taŋ	dishes
c1.c144.c54.	Atʰaŋ	syang21	syang	˥taŋ	dishes
c1.c144.c62.	Atʰwal	tuk31	tuk	˥tʰo	saliva
c1.c144.c65.	Atʰo	mar31	mar	˥tʰo	saliva
c1.c144.c65.	Atʰo	syang22	syang	˥to	hoe
c1.c144.c65.	Atʰo	syang31	syang	˥to	saliva
c1.c144.c65.	Atʰo	tuk31	tuk	˥tʰo	saliva
c1.c144.c66.	Atʰoː	mar31	mar	˥tʰo	saliva
c1.c144.c66.	Atʰoː	syang22	syang	˥to	hoe
c1.c144.c66.	Atʰoː	syang31	syang	˥to	saliva
c1.c144.c66.	Atʰoː	tuk31	tuk	˥tʰo	saliva
c1.c144.c68.	Atʰjoi	tuk30	tuk	˥tʰe	siblings
c1.c144.c71.	Atʰot	tuk30	tuk	˥tʰe	siblings
c1.c144.c75.	Atʰop	mar31	mar	˥tʰo	saliva
c1.c144.c81.	Atʰor	syang22	syang	˥to	hoe
c1.c144.c81.	Atʰor	syang31	syang	˥to	saliva
c1.c144.c99.	Atʰul	mar31	mar	˥tʰo	saliva
c1.c145.c11.	Adiŋ	gha2	gha	¹tĩ	heart
c1.c145.c11.	Adiŋ	ris1	ris	¹tiŋ	heart
c1.c145.c11.	Adiŋ	sahu1	sahu	¹tiŋ	heart
c1.c145.c11.	Adiŋ	man2	man	¹tĩ	heart
c1.c145.c11.	Adiŋ	mar2	mar	˥tin	heart
c1.c145.c11.	Adiŋ	syang2	syang	˥tin	heart
c1.c145.c11.	Adiŋ	tuk2	tuk	˥tin	heart
c1.c145.c12.	Adin	gha2	gha	¹tĩ	heart
c1.c145.c12.	Adin	man2	man	¹tĩ	heart
c1.c145.c12.	Adin	mar2	mar	˥tin	heart
c1.c145.c12.	Adin	syang2	syang	˥tin	heart
c1.c145.c12.	Adin	tuk2	tuk	˥tin	heart
c1.c145.c14.	Adim	gha2	gha	¹tĩ	heart
c1.c145.c14.	Adim	man2	man	¹tĩ	heart
c1.c145.c14.	Adim	mar2	mar	˥tin	heart
c1.c145.c27.	Adep	syang22	syang	˥to	hoe
c1.c145.c27.	Adep	syang31	syang	˥to	saliva
c1.c145.c33.	Ada	tuk20	tuk	˥tə	horse
c1.c145.c37.	Adwa	syang22	syang	˥to	hoe
c1.c145.c37.	Adwa	syang31	syang	˥to	saliva
c1.c145.c37.	Adwa	tuk22	tuk	˥to	hoe
c1.c145.c38.	Adwa	syang22	syang	˥to	hoe
c1.c145.c38.	Adwa	syang31	syang	˥to	saliva
c1.c145.c38.	Adwa	tuk22	tuk	˥to	hoe
c1.c145.c39.	Adwa	syang22	syang	˥to	hoe
c1.c145.c39.	Adwa	syang31	syang	˥to	saliva
c1.c145.c39.	Adwa	tuk20	tuk	˥tə	horse
c1.c145.c40.	Adwaː	tuk22	tuk	˥to	hoe
c1.c145.c41.	Adwaː	tuk22	tuk	˥to	hoe
c1.c145.c51.	Adap	syang22	syang	˥to	hoe
c1.c145.c51.	Adap	syang31	syang	˥to	saliva
c1.c145.c53.	Adaŋ	syang21	syang	˥taŋ	dishes
c1.c145.c53.	Adaŋ	tuk21	tuk	˥taŋ	dishes
c1.c145.c54.	Adaŋ	syang21	syang	˥taŋ	dishes
c1.c145.c54.	Adaŋ	tuk21	tuk	˥taŋ	dishes
c1.c145.c62.	Adwal	tuk22	tuk	˥to	hoe
c1.c145.c65.	Ado	syang22	syang	˥to	hoe
c1.c145.c65.	Ado	syang31	syang	˥to	saliva
c1.c145.c65.	Ado	tuk22	tuk	˥to	hoe
c1.c145.c66.	Adoː	syang22	syang	˥to	hoe
c1.c145.c66.	Adoː	syang31	syang	˥to	saliva
c1.c145.c66.	Adoː	tuk22	tuk	˥to	hoe
c1.c145.c81.	Ador	syang22	syang	˥to	hoe
c1.c145.c81.	Ador	syang31	syang	˥to	saliva
c1.c145.c94.	Adun	man2	man	¹tĩ	heart
c1.c146.c11.	Adiŋ	gha2	gha	¹tĩ	heart
c1.c146.c11.	Adiŋ	ris1	ris	¹tiŋ	heart
c1.c146.c11.	Adiŋ	sahu1	sahu	¹tiŋ	heart
c1.c146.c11.	Adiŋ	mar2	mar	˥tin	heart
c1.c146.c11.	Adiŋ	syang2	syang	˥tin	heart
c1.c146.c11.	Adiŋ	tuk2	tuk	˥tin	heart
c1.c146.c12.	Adin	gha2	gha	¹tĩ	heart
c1.c146.c12.	Adin	mar2	mar	˥tin	heart
c1.c146.c12.	Adin	syang2	syang	˥tin	heart
c1.c146.c12.	Adin	tuk2	tuk	˥tin	heart
c1.c146.c14.	Adim	gha2	gha	¹tĩ	heart
c1.c146.c14.	Adim	mar2	mar	˥tin	heart
c1.c146.c27.	Adep	syang22	syang	˥to	hoe
c1.c146.c27.	Adep	syang31	syang	˥to	saliva
c1.c146.c33.	Ada	tuk20	tuk	˥tə	horse
c1.c146.c37.	Adwa	syang22	syang	˥to	hoe
c1.c146.c37.	Adwa	syang31	syang	˥to	saliva
c1.c146.c37.	Adwa	tuk22	tuk	˥to	hoe
c1.c146.c38.	Adwa	syang22	syang	˥to	hoe
c1.c146.c38.	Adwa	syang31	syang	˥to	saliva
c1.c146.c38.	Adwa	tuk22	tuk	˥to	hoe
c1.c146.c39.	Adwa	syang22	syang	˥to	hoe
c1.c146.c39.	Adwa	syang31	syang	˥to	saliva
c1.c146.c39.	Adwa	tuk20	tuk	˥tə	horse
c1.c146.c40.	Adwaː	tuk22	tuk	˥to	hoe
c1.c146.c41.	Adwaː	tuk22	tuk	˥to	hoe
c1.c146.c51.	Adap	syang22	syang	˥to	hoe
c1.c146.c51.	Adap	syang31	syang	˥to	saliva
c1.c146.c53.	Adaŋ	syang21	syang	˥taŋ	dishes
c1.c146.c53.	Adaŋ	tuk21	tuk	˥taŋ	dishes
c1.c146.c54.	Adaŋ	syang21	syang	˥taŋ	dishes
c1.c146.c54.	Adaŋ	tuk21	tuk	˥taŋ	dishes
c1.c146.c62.	Adwal	tuk22	tuk	˥to	hoe
c1.c146.c65.	Ado	syang22	syang	˥to	hoe
c1.c146.c65.	Ado	syang31	syang	˥to	saliva
c1.c146.c65.	Ado	tuk22	tuk	˥to	hoe
c1.c146.c66.	Adoː	syang22	syang	˥to	hoe
c1.c146.c66.	Adoː	syang31	syang	˥to	saliva
c1.c146.c66.	Adoː	tuk22	tuk	˥to	hoe
c1.c146.c81.	Ador	syang22	syang	˥to	hoe
c1.c146.c81.	Ador	syang31	syang	˥to	saliva
c1.c147.c184.c53.	Apraŋ	ris9	ris	¹praŋ	ropeway
c1.c147.c184.c53.	Apraŋ	sahu10	sahu	¹praŋ	ropeway
