193.	come apart	Âí¢¢	l_o££	l_í££	?	l_í££	Â_íª	Âi££	l_i¢
194.	scoop up	tí¢¢	t_o££	t_í££	t_y££	t_í££	t_íª	ti££	?
195.	stick in	t¨hí¢¢	t¨h_o££	tsh_í££	?	t¨h_í££	t¨h_íª	t¨hi££	?
196.	layer	tí¢¢	t_o££	t_í££	?	?	t_íª	ti££	t_i¢
197.	can	k·ª	k_·ª	k_·ª	Ö_iª	k_·ª	k_·°°	kíÁ£	k_·°°
198.	hold (between fingers)	tshi¢¢	tsh_i££	t_·££	tsh_i££	tsh_i££	tsh_·ª	tshí££	tshi¢
199.	take off	Â·ª	l_·ª	Â_·ª	Öl_iª	l_·ª	l_·°°	líÁ£	l_i°°
200.	blow	mu¢¢	m_u££	m_u££	Öm@_u££	m_·££	m_uª	mu££	Žmu¢
201.	Buddha	bu¢¢	b_u££	b_u££	Öb@_u££	b_·££	b_uª	bu££	bu¢
202.	jar	buª	b_uª	b_uª	b@_uª	b_·ª	b_u°°	?	?
