N	Gloss	PL	WB	Akha	HaniW	HaniL	Khatu	Pijo	Haoni	Mpi
19.140	Fruit	ªsi	Ási	ÁÁshi	££siiq	ÁÁshy	ÁÁshi	ÁÁshi		ªÖŒ ªs·
109.174	Fry	ÁÖ+lu		°°lu	££lul	°°hlu,°°lu		°°ly	°°Ôl§v	(°khoÖ)
57.58	Full			°°ma	££mal	°°ma	°°ma	°°ma
193.425	Full	£mbli³	Ápra~n	££bja³	££bbiao	££py	££py	££py	(°°m¿)	ªÖ·Ö £pj·
88.94	Get	£ra	£ra	££ja	££hha	££©a	££xho	££j¿	££j¿	£la/£ha
24.488	Give	ªbe	ªpe	ÁÁbiq	££bbivq	££biq	ÁÁpi	ÁÁpi?		°pe
47.107	Go	Áay		°°i	££yil	°°ji	°°ji	°°ji	°°ji	°je
186.219	Goiter			°°bä	££bbeil	°°bä	°°pi	°°pi
376.318	Good	ÁÖmin	Ámwan	ÁÁmy	££meeq	ÁÁmy	££m¿	££m¿		Ám·
96.167	Gourd	(Öú)ªpu	ªbhu	ÁÁphu	££puq	ÁÁphu	ÁÁphm	ÁÁphfu		°tûhoÖ °phu
38.340	Grandson	(ªm+)le	ªmre	££Ùo	££yuq	££Ùo	ÁÁli	ÁÁli
119.350	Green	ÁÖ+øo	Ányui	££njÙo	££niul	££njÙu	°°nji	°°nji		°øi
68.34	Guest			ÁÁda	££ddaq	ÁÁda	ÁÁta	ÁÁt¿
197.403	Hair	Ákri³	Ákhya~n, Ákhra~n	°°kha³	££kaol	°°kh¿	°°khy	°°khy		¢³ ¤kh·
336.499	Half	îpak		££paq				££pha
318.482	Hand	ñlak	¼lak	ÁÁlaq	££lavq	ÁÁlaq	ÁÁla	ÁÁlaq	£Áa £Ála	ªlŒ ¤phu
519.	Hand			££k¿q	££gov	££koq	££khy	££khy
306.454	Have(inan)			££djaq	££jjav	££jaq	££tsa	°°tsa °°i		£tûŒ
216.243	Have, exist	Ája³		°°dj¿	££jjol	°°djo	°°tsu	°°tju	££tÆa	£tûŒ
180.178	Hawk	(k)-Ádzwan	Ácwan	ÁÁxha-°°dze	££haqzzeil	ÁÁxha-°°dzä	°°tji	°°tji		¤te ¢mo
112.143	Head	ªu	ÁÖu	ÁÁu	££wuq	ÁÁu	ÁÁvu	ÁÁvu
75.10	Hear	ªgra	ªkra	ÁÁga	££ggaq	ÁÁga		ÁÁk¿	£Ák¿	Ákjo
10.307	Heart	£ni		££ny	££nee	££ny	££nú	££nú		¢no
114.374	Heaven	ªmo	ªmui	ÁÁm	££aoq	ÁÁ¿	ÁÁmi	ÁÁmi		(ªn ¢thŒ ¢lŒ)
93.90	Hillfield	Ár+ya	Ára,Árya	°°ja	££yal	°°ja	££xh¿	°°ja?		¤jo
118.343	Hinder			££tshÙo	££cyuq	ÁÁshy	ÁÁtshy	ÁÁtjhy
