id	level	type	proto	context	Qiandong	Xiangxi	WhiteHmong	Masha	Luopohe	Jiongnai	Baiyun	Luoxiang	Mun	BiaoMin	ZaoMin
186		I	ʔlj			ȴ	l	l,ɭ	ɭ,ʔl	ʔl					
187		I	ʔm		m	m	m	m	ʔm	m	m	m	m	m	m
188		I	ʔn		n	n	n	n	ʔn	n	n,ȵ	n	n	n	n
189		I	ʔr		ɣ,v	ʐ	ʐ	ʐ	ʔwj	ŋkj,ɳtʃ,ŋw,j,vw	j,ɦj	g,gw	gj,g	l,lw	dz
190		I	ʔw		v	w	v,ʔ	w,ʑ	ʔw	v	v	v,w	v	w	v,vj
191		I	ʔɟ									j,dʑ	ȡ	k	
192		I	ʔɲ		ȵ	ȵ	ȵ	ȵ	ʔȵ	ȵ	ȵ	ȵ	ȵ,ŋj	ȵ,n	ȵ
194		R	a		a,u,ɑ	ɑ,a,ə,ei	i,e	i,ɪ,e	a,o	e,an,u	a,ɔ,e,i	a	a,e	a,ɔ	a,ɛ,ɔu
195		R	ai									aːi,ai	aːi,ai	a	ɔi
196		R	aj		a	a,ɑ	ua,au	a	a	a	a,e	aːi,ai,ɔi	aːi,ai	a,ai	ɛi,ɔi,ai
197		R	ak									a	a		ɔu
198		R	am		aŋ,i	i	a	ua,a	en	ã,i,en	æ̃,e,ɤ,ɛ	aːm,am	aːm	a,an	ɔm,ɛm
199		R	an		ɛ,aŋ	e,ɑŋ	ɛŋ	æin,æ,ein	aŋ,en	ɔu,aŋ,oŋ,an	æ̃,õ,ɛ	aːn,an,aŋ	aːn,an	an	an,a,ɔn
200		R	ap				ɔ	o		ei,ai	a	aːp	aːp	an	ap
201		R	at		a	ei,i,e	i	ɪ,i	a	ai,e	e,i	at,aːt	at,aːt,et	an,ɛn	ɛt,ɔt,at
202		R	au		a	ɯ	e	æ	i	a	o	aːu,au	aːu,au	a,au,ɔ	u,au
203		R	aŋ		ɑŋ,aŋ	ei,en,i	a	a,ua	en,ei	en,i,an,ui	ɛ,e,ẽ,ĩ,a,ɪ̃,ɛ1lõ,ɤ	aːŋ,aŋ	aːŋ,aŋ	ə,aŋ,ɔ	ɔŋ,an,aŋ
204		R	e		i,ei	ɑ,ɑŋ,i,a	ai	e	e	ai,e,ei	e,æ̃,a,ɛ	a	a	ə,a	ɛi,ɛ
205		R	ei		u,en	ei,i	au	ɔ,o	u,ou,au	e,a	ɪ,i	ei,e,i	ei	əi,i	ɛi,ɔu
206		R	ein		oŋ	i,ei	a,ɔ	a	oŋ	e	a,̩	ei,i	ei,i	əi,a,i	ɛi,a
207		R	ej		i	a	ai	e	e	ei,ai	i,ɛ	ei	ei	əi,i	i,ɛi,ɔi
208		R	ek		a	a	i		o			i	i	i	ɛ,aŋ
209		R	em		aŋ	ɛ	ia	i	en	iŋ	ɪ̃	im	eːm		iŋ,ɛm
210		R	en		aŋ,i	ɛ	ia	æin,i	en	eŋ,iŋ	ɪ̃,ɪ				
211		R	ep		ei,i	ɑ	ai	e	e	ai,ei	a,ɛ	e,ip,op,ep	ip,aːp,eːp	ɛn,in,ɛ	ɛp
212		R	et		i,ei	ɑ,ei	ai	e	e	i,ai	e,ɤ	et,a	eːt,et,u	un,in,an	ɛt,at
213		R	eu		a	a	i	ei,i	e			eu	ɔu,iː	a	
214		R	euŋ		en	e	u	oŋ	i,en	ɔ	ɯ	au,eu	au,ɔu	au	uŋ
215		R	eŋ				ia	æin	en	ei	i,õ	ɛŋ,ɛŋ5',ɛːŋ	eːŋ,eŋ	ɛ	ɛŋ,aŋ
216		R	eəm		en	e	u	oŋ	en	eŋ	ĩ	em	am	an	ɛm
217		R	i		en	i	i	ei,i	e,i	i,ei	ɪ,e,i	i	i	i,ai	ɛi,i
218		R	ien									en	in,iːn	in,ən	ɛn
219		R	ik				i	ei		ai	a	it			
220		R	im		en,i	ɛ	ia	æin	en	en,an	ɪ̃	im	im	ɛn,in	um,am,ɛm
221		R	in		i,iə,ei,en	ɛ,ɹɛ,ɑ	ia	i,ein,æin,ei	en,u,i	ai,en,an	ɛ̃,ẽ,a,ɪ̃,ĩ,ɔ̃,i	iŋ,in4bin	in	in,en	in4bjɛn
222		R	iu									iu	iu	iu	iu
224		R	iuŋ		en	e	u	oŋ	en	ɔ	̩	oŋ	ɔːŋ	uŋ	̩
225		R	iŋ		i		ia	æin	en	eŋ	ĩ	iːŋ,iŋ	iːŋ,iŋ	ɛ	ɔŋ,aŋ
226		R	iəŋ		en		ɔ	ɔŋ	en	ɔ	̩	ɛŋ	uŋ	au	ɔŋ
227		R	i̯aŋ		aŋ	ei	a	ua,aŋ	en,aŋ	en,i,eu,an	ɛ,ɔ̃,ɤ	aŋ	aŋ	aŋ	aŋ
228		R	i̯em									em,eːm	iːm	ɛn,eŋ	
229		R	i̯en		aŋ	ɛ	ia	ein,æin	en	en,iŋ	ɛ,ɪ̃	in	in	in,ən	un,ɛn
